!	1	0.000001
(	4	0.000004
)	4	0.000004
*	145	0.000142
+	2	0.000002
,	12	0.000012
-	2	0.000002
.	122	0.000120
0	69	0.000068
1	159	0.000156
2	91	0.000089
3	76	0.000075
4	67	0.000066
5	74	0.000073
6	65	0.000064
7	53	0.000052
8	58	0.000057
9	58	0.000057
:	4	0.000004
=	12	0.000012
A	11	0.000011
B	64	0.000063
D	3	0.000003
E	1	0.000001
F	1	0.000001
G	2	0.000002
H	4	0.000004
I	1	0.000001
K	4	0.000004
L	2	0.000002
M	6	0.000006
O	8	0.000008
P	16	0.000016
Q	5	0.000005
S	33	0.000032
T	4	0.000004
V	7	0.000007
W	2	0.000002
X	2	0.000002
Y	16	0.000016
[	1	0.000001
]	1	0.000001
_	3	0.000003
a	9	0.000009
b	1	0.000001
c	3	0.000003
d	4	0.000004
e	5	0.000005
g	7	0.000007
h	4	0.000004
i	7	0.000007
j	3	0.000003
l	9	0.000009
m	4	0.000004
n	2	0.000002
o	5	0.000005
p	4	0.000004
q	3	0.000003
r	2	0.000002
s	8	0.000008
t	4	0.000004
u	7	0.000007
v	1	0.000001
w	9	0.000009
y	26	0.000026
~	24	0.000024
·	2	0.000002
з	1	0.000001
—	241	0.000237
‘	24	0.000024
’	25	0.000025
“	9685	0.009506
”	9683	0.009504
…	2261	0.002219
↑	1	0.000001
↓	1	0.000001
∠	1	0.000001
╯	1	0.000001
╰	1	0.000001
▼	4	0.000004
　	30	0.000029
、	567	0.000557
。	19980	0.019612
《	46	0.000045
》	46	0.000045
」	1	0.000001
【	72	0.000071
】	72	0.000071
一	18038	0.017705
丁	82	0.000080
七	636	0.000624
万	675	0.000663
丈	45	0.000044
三	1352	0.001327
上	5468	0.005367
下	4087	0.004012
不	16329	0.016028
与	134	0.000132
丐	6	0.000006
丑	40	0.000039
专	101	0.000099
且	369	0.000362
世	708	0.000695
丘	1	0.000001
丙	4	0.000004
业	134	0.000132
丛	44	0.000043
东	878	0.000862
丝	343	0.000337
丞	10	0.000010
丢	143	0.000140
两	1823	0.001789
严	238	0.000234
丧	45	0.000044
个	5929	0.005820
丫	54	0.000053
中	2264	0.002222
丰	53	0.000052
串	75	0.000074
